,Beta
FTSEMIB Index,0.9999999999999997
A2A ,0.7073327419994382
Amplifon ,0.7676872212099771
Azimut ,0.98693434276318
BPER banca ,1.0313094517367125
Banca Mediolanum ,0.9343484353629566
Banca Monte dei Paschi di Siena ,1.3139661598011885
Banca pop Sondrio ,1.0537295616543207
Banco Bpm ,0.98693434276318
Brunello cucinelli ,0.428006045624151
Campari ,0.46550596254397564
Diasorin ,0.8351132563485498
Enel ,0.8194707340342249
Eni ,0.7886171878131047
Erg ,0.7739543807041135
Ferrari ,1.017629505938334
Fineco ,1.2050306240757982
Generali Ass ,0.8747540399285572
Hera ,0.5854757435161044
Interpump ,0.8213022384221158
Intesa San Paolo ,1.3510832092330696
Inwit ,0.9717369341526871
Italgas ,0.7499205826688488
Leonardo ,1.1235064977596174
Mediobanca ,1.1164934304779937
Moncler ,0.7733543754633281
Pirelli ,0.5699506607933083
Poste Italiane ,1.089143036096132
Prysmian ,1.0997563128526273
Recordati ,0.3932353162061674
Saipem ,0.4815718461416633
Snam ,0.7087770142344314
Stellantis ,1.140059316043125
Stmicroeletronics ,1.2401473205355538
Telecom ,1.3192726431515176
Tenaris ,0.81212491702849
Terna ,0.6179065906776593
Unicredit ,1.3174149704688785
Unipol ,1.0808847493147935
